Date (GMT+2),Solar,"Solar forecast (Day-Ahead, D-1 18:00)"
,Power (MW),Power (MW)
2024-07-01T00:00+02:00,2.3,0
2024-07-01T00:15+02:00,1.8,0
2024-07-01T00:30+02:00,1.8,0
2024-07-01T00:45+02:00,1.9,0
2024-07-01T01:00+02:00,2.1,0
2024-07-01T01:15+02:00,1.8,0
2024-07-01T01:30+02:00,1.9,0
2024-07-01T01:45+02:00,1.9,0
2024-07-01T02:00+02:00,1.9,0
2024-07-01T02:15+02:00,1.8,0
2024-07-01T02:30+02:00,1.9,0
2024-07-01T02:45+02:00,1.8,0
2024-07-01T03:00+02:00,1.8,0
2024-07-01T03:15+02:00,1.8,0
2024-07-01T03:30+02:00,1.8,0
2024-07-01T03:45+02:00,1.8,0
2024-07-01T04:00+02:00,1.8,0
2024-07-01T04:15+02:00,1.9,0
2024-07-01T04:30+02:00,3.9,0
2024-07-01T04:45+02:00,11.3,4
2024-07-01T05:00+02:00,60.8,26.8
2024-07-01T05:15+02:00,160.9,98.8
2024-07-01T05:30+02:00,329.2,220
2024-07-01T05:45+02:00,648.5,438.2
2024-07-01T06:00+02:00,1064.7,823.6
2024-07-01T06:15+02:00,1617.4,1456.6
2024-07-01T06:30+02:00,2264.5,2222.7
2024-07-01T06:45+02:00,3037.4,3108.8
2024-07-01T07:00+02:00,3949.9,3938.2
2024-07-01T07:15+02:00,4939.2,4978.9
2024-07-01T07:30+02:00,6074.4,6082.9
2024-07-01T07:45+02:00,7302.8,7268
2024-07-01T08:00+02:00,8542.7,8455.8
2024-07-01T08:15+02:00,9781.1,9779
2024-07-01T08:30+02:00,11024.3,11144.6
2024-07-01T08:45+02:00,12434.2,12489.3
2024-07-01T09:00+02:00,13713.7,13736.4
2024-07-01T09:15+02:00,14840.1,14903.5
2024-07-01T09:30+02:00,16107.2,15996.7
2024-07-01T09:45+02:00,17378.8,17052
2024-07-01T10:00+02:00,18434.8,18064.8
2024-07-01T10:15+02:00,19684.1,19058.7
2024-07-01T10:30+02:00,20736.8,19998.6
2024-07-01T10:45+02:00,21720.8,20863.2
2024-07-01T11:00+02:00,22460.2,21748.4
2024-07-01T11:15+02:00,22965.7,22498
2024-07-01T11:30+02:00,23668.3,23177.8
2024-07-01T11:45+02:00,24071.9,23790.3
2024-07-01T12:00+02:00,24366,24292.7
2024-07-01T12:15+02:00,24712.1,24788.9
2024-07-01T12:30+02:00,24902,25209.9
2024-07-01T12:45+02:00,24857.9,25551.8
2024-07-01T13:00+02:00,25005.8,26005.7
2024-07-01T13:15+02:00,24892.7,26242.7
2024-07-01T13:30+02:00,25187,26389.8
2024-07-01T13:45+02:00,25304.6,26459.2
2024-07-01T14:00+02:00,25040.4,26485.4
2024-07-01T14:15+02:00,24560.5,26539.8
2024-07-01T14:30+02:00,23881.9,26527.1
2024-07-01T14:45+02:00,23028.5,26451
2024-07-01T15:00+02:00,22366.3,26330.7
2024-07-01T15:15+02:00,21963.2,26004.2
2024-07-01T15:30+02:00,21139,25541
2024-07-01T15:45+02:00,20438.9,24921.7
2024-07-01T16:00+02:00,19931.2,24115.7
2024-07-01T16:15+02:00,19173.8,23198.2
2024-07-01T16:30+02:00,18465.7,22136.2
2024-07-01T16:45+02:00,17878.3,20936.6
2024-07-01T17:00+02:00,16674,19664.8
2024-07-01T17:15+02:00,15819,18319.2
2024-07-01T17:30+02:00,14636.9,16887.4
2024-07-01T17:45+02:00,13335.2,15416.9
2024-07-01T18:00+02:00,11765.9,13902.6
2024-07-01T18:15+02:00,10386.9,12313.6
2024-07-01T18:30+02:00,9178.5,10684.1
2024-07-01T18:45+02:00,7904.1,9130.8
2024-07-01T19:00+02:00,6625.8,7697.1
2024-07-01T19:15+02:00,5400.8,6394.3
2024-07-01T19:30+02:00,4378.4,5215
2024-07-01T19:45+02:00,3497.4,4176
2024-07-01T20:00+02:00,2638.6,3191.2
2024-07-01T20:15+02:00,1881.2,2170.2
2024-07-01T20:30+02:00,1262.2,1281.3
2024-07-01T20:45+02:00,771.3,577.7
2024-07-01T21:00+02:00,376,207.6
2024-07-01T21:15+02:00,124.6,96.6
2024-07-01T21:30+02:00,26.5,44.8
2024-07-01T21:45+02:00,4.9,22.1
2024-07-01T22:00+02:00,5.9,5.4
2024-07-01T22:15+02:00,6.8,0
2024-07-01T22:30+02:00,3.6,0
2024-07-01T22:45+02:00,2.4,0
2024-07-01T23:00+02:00,3.7,0
2024-07-01T23:15+02:00,3.2,0
2024-07-01T23:30+02:00,1.7,0
2024-07-01T23:45+02:00,1.6,0
2024-07-02T00:00+02:00,2.2,0
2024-07-02T00:15+02:00,1.8,0
2024-07-02T00:30+02:00,1.7,0
2024-07-02T00:45+02:00,1.7,0
2024-07-02T01:00+02:00,1.8,0
2024-07-02T01:15+02:00,1.7,0
2024-07-02T01:30+02:00,1.5,0
2024-07-02T01:45+02:00,1.5,0
2024-07-02T02:00+02:00,1.5,0
2024-07-02T02:15+02:00,1.5,0
2024-07-02T02:30+02:00,1.5,0
2024-07-02T02:45+02:00,1.3,0
2024-07-02T03:00+02:00,1.4,0
2024-07-02T03:15+02:00,1.5,0
2024-07-02T03:30+02:00,2.3,0
2024-07-02T03:45+02:00,1.7,0
2024-07-02T04:00+02:00,1.8,0
2024-07-02T04:15+02:00,1.8,0
2024-07-02T04:30+02:00,3.4,0
2024-07-02T04:45+02:00,10.5,5.3
2024-07-02T05:00+02:00,59.6,38.7
2024-07-02T05:15+02:00,168,118.4
2024-07-02T05:30+02:00,371.1,244.8
2024-07-02T05:45+02:00,777,494.6
2024-07-02T06:00+02:00,1348.6,1011.8
2024-07-02T06:15+02:00,2063.2,1840.4
2024-07-02T06:30+02:00,2890.2,2919.2
2024-07-02T06:45+02:00,3828.4,3933.8
2024-07-02T07:00+02:00,4845.9,5076.9
2024-07-02T07:15+02:00,5911.6,6340.5
2024-07-02T07:30+02:00,7108.6,7670.4
2024-07-02T07:45+02:00,8351.9,9031.2
2024-07-02T08:00+02:00,9662.3,10286.8
2024-07-02T08:15+02:00,11219.8,11609.6
2024-07-02T08:30+02:00,12464.5,12885.7
2024-07-02T08:45+02:00,13715,14070.9
2024-07-02T09:00+02:00,15012.5,15137.9
2024-07-02T09:15+02:00,16167.5,16106.1
2024-07-02T09:30+02:00,17208.5,16967.5
2024-07-02T09:45+02:00,17833.5,17732.2
2024-07-02T10:00+02:00,18033.8,18425.2
2024-07-02T10:15+02:00,18213,19044.5
2024-07-02T10:30+02:00,18163.5,19578.8
2024-07-02T10:45+02:00,17936.7,20021.6
2024-07-02T11:00+02:00,17673.4,20327.4
2024-07-02T11:15+02:00,17400.1,20504
2024-07-02T11:30+02:00,17549.1,20629
2024-07-02T11:45+02:00,17886.4,20718.3
2024-07-02T12:00+02:00,18219.1,20839.5
2024-07-02T12:15+02:00,18244.6,20931.3
2024-07-02T12:30+02:00,18686.2,20977
2024-07-02T12:45+02:00,18842.6,20957.9
2024-07-02T13:00+02:00,18843.8,20884
2024-07-02T13:15+02:00,18848.6,20722.5
2024-07-02T13:30+02:00,18351.6,20502.1
2024-07-02T13:45+02:00,18040.3,20248.4
2024-07-02T14:00+02:00,17850,19969.1
2024-07-02T14:15+02:00,17520,19646.1
2024-07-02T14:30+02:00,16791.1,19260.3
2024-07-02T14:45+02:00,15994.5,18797.4
2024-07-02T15:00+02:00,15523.4,18219.9
2024-07-02T15:15+02:00,14952.2,17591.6
2024-07-02T15:30+02:00,14232.5,16887.5
2024-07-02T15:45+02:00,13487.8,16107.2
2024-07-02T16:00+02:00,12824.6,15288.6
2024-07-02T16:15+02:00,12417.3,14367.4
2024-07-02T16:30+02:00,11630.9,13393.6
2024-07-02T16:45+02:00,10837,12406.7
2024-07-02T17:00+02:00,10000.5,11497.4
2024-07-02T17:15+02:00,9327.7,10506
2024-07-02T17:30+02:00,8420,9514.6
2024-07-02T17:45+02:00,7563.9,8549.8
2024-07-02T18:00+02:00,6654.9,7616.1
2024-07-02T18:15+02:00,5919,6710.3
2024-07-02T18:30+02:00,5284.8,5853.8
2024-07-02T18:45+02:00,4570.3,5041.8
2024-07-02T19:00+02:00,3922.6,4242.4
2024-07-02T19:15+02:00,3319.1,3465.5
2024-07-02T19:30+02:00,2704.4,2742.5
2024-07-02T19:45+02:00,2140.4,2134.4
2024-07-02T20:00+02:00,1601.5,1543.2
2024-07-02T20:15+02:00,1128.9,1060.8
2024-07-02T20:30+02:00,736,651.9
2024-07-02T20:45+02:00,438.3,340.7
2024-07-02T21:00+02:00,223.8,160
2024-07-02T21:15+02:00,85.8,87.1
2024-07-02T21:30+02:00,18.5,44.7
2024-07-02T21:45+02:00,4.7,21.4
2024-07-02T22:00+02:00,2.8,5
2024-07-02T22:15+02:00,2,0
2024-07-02T22:30+02:00,2.9,0
2024-07-02T22:45+02:00,1.8,0
2024-07-02T23:00+02:00,4.5,0
2024-07-02T23:15+02:00,5.7,0
2024-07-02T23:30+02:00,7,0
2024-07-02T23:45+02:00,8.3,0
2024-07-03T00:00+02:00,6.8,0
2024-07-03T00:15+02:00,6.7,0
2024-07-03T00:30+02:00,6.7,0
2024-07-03T00:45+02:00,6.6,0
2024-07-03T01:00+02:00,4,0
2024-07-03T01:15+02:00,1.7,0
2024-07-03T01:30+02:00,1.2,0
2024-07-03T01:45+02:00,1.1,0
2024-07-03T02:00+02:00,1.2,0
2024-07-03T02:15+02:00,1.2,0
2024-07-03T02:30+02:00,1.2,0
2024-07-03T02:45+02:00,1.2,0
2024-07-03T03:00+02:00,1.3,0
2024-07-03T03:15+02:00,1.4,0
2024-07-03T03:30+02:00,1.4,0
2024-07-03T03:45+02:00,1.4,0
2024-07-03T04:00+02:00,1.2,0
2024-07-03T04:15+02:00,1.2,0
2024-07-03T04:30+02:00,4,0
2024-07-03T04:45+02:00,7.2,10.5
2024-07-03T05:00+02:00,46.3,39.2
2024-07-03T05:15+02:00,140.8,118.5
2024-07-03T05:30+02:00,285.8,243.1
2024-07-03T05:45+02:00,558.2,492.9
2024-07-03T06:00+02:00,1015.5,935.4
2024-07-03T06:15+02:00,1598.2,1631.9
2024-07-03T06:30+02:00,2291.5,2454.9
2024-07-03T06:45+02:00,3139.9,3439.7
2024-07-03T07:00+02:00,4144.6,4508.9
2024-07-03T07:15+02:00,5237.3,5738.6
2024-07-03T07:30+02:00,6479.2,7089.6
2024-07-03T07:45+02:00,7846.2,8505.4
2024-07-03T08:00+02:00,9359.7,9892.7
2024-07-03T08:15+02:00,10866.4,11360.1
2024-07-03T08:30+02:00,12430,12817.7
2024-07-03T08:45+02:00,13888.5,14215.8
2024-07-03T09:00+02:00,15378.6,15532.8
2024-07-03T09:15+02:00,16789.3,16839.9
2024-07-03T09:30+02:00,18107.9,18060.1
2024-07-03T09:45+02:00,19240.6,19156.3
2024-07-03T10:00+02:00,20170.8,20101.9
2024-07-03T10:15+02:00,21006.9,20928.5
2024-07-03T10:30+02:00,21627,21616.8
2024-07-03T10:45+02:00,22047.4,22185.2
2024-07-03T11:00+02:00,22367.5,22632.9
2024-07-03T11:15+02:00,22594.3,23057.3
2024-07-03T11:30+02:00,22612.7,23388.5
2024-07-03T11:45+02:00,22658.4,23642.7
2024-07-03T12:00+02:00,22489.2,23814.9
2024-07-03T12:15+02:00,22374,23894.7
2024-07-03T12:30+02:00,22280.9,23893
2024-07-03T12:45+02:00,21944.3,23828
2024-07-03T13:00+02:00,21845,23656.1
2024-07-03T13:15+02:00,21804.8,23408
2024-07-03T13:30+02:00,21248.5,23075.3
2024-07-03T13:45+02:00,20366.9,22667
2024-07-03T14:00+02:00,19588.5,22099.8
2024-07-03T14:15+02:00,18725.1,21586.1
2024-07-03T14:30+02:00,18081.5,20995.4
2024-07-03T14:45+02:00,17520.8,20335.2
2024-07-03T15:00+02:00,17047.5,19657.5
2024-07-03T15:15+02:00,16588.1,18906.1
2024-07-03T15:30+02:00,15934.3,18085.1
2024-07-03T15:45+02:00,15452.5,17242.2
2024-07-03T16:00+02:00,14785.3,16409.5
2024-07-03T16:15+02:00,14250.1,15536
2024-07-03T16:30+02:00,13572.8,14651.1
2024-07-03T16:45+02:00,12833.2,13742.3
2024-07-03T17:00+02:00,12107.9,12699.8
2024-07-03T17:15+02:00,11349,11679.4
2024-07-03T17:30+02:00,10472.2,10632.4
2024-07-03T17:45+02:00,9659.4,9582.8
2024-07-03T18:00+02:00,8937.1,8534.1
2024-07-03T18:15+02:00,8177.8,7540.8
2024-07-03T18:30+02:00,7170.4,6560.9
2024-07-03T18:45+02:00,6381.2,5625
2024-07-03T19:00+02:00,5472.5,4750.7
2024-07-03T19:15+02:00,4571.3,3910.2
2024-07-03T19:30+02:00,3773.2,3121.4
2024-07-03T19:45+02:00,3016.7,2432.9
2024-07-03T20:00+02:00,2294.2,1776.8
2024-07-03T20:15+02:00,1641.9,1234.9
2024-07-03T20:30+02:00,1113.8,770
2024-07-03T20:45+02:00,688.6,398.9
2024-07-03T21:00+02:00,357.7,178.4
2024-07-03T21:15+02:00,137.8,84.2
2024-07-03T21:30+02:00,38.3,39.8
2024-07-03T21:45+02:00,9,22.6
2024-07-03T22:00+02:00,9.4,0.8
2024-07-03T22:15+02:00,7.7,0
2024-07-03T22:30+02:00,7.2,0
2024-07-03T22:45+02:00,9.4,0
2024-07-03T23:00+02:00,11.2,0
2024-07-03T23:15+02:00,9.3,0
2024-07-03T23:30+02:00,7,0
2024-07-03T23:45+02:00,6.9,0
2024-07-04T00:00+02:00,7.5,0
2024-07-04T00:15+02:00,7.1,0
2024-07-04T00:30+02:00,2.8,0
2024-07-04T00:45+02:00,1.6,0
2024-07-04T01:00+02:00,2.3,0
2024-07-04T01:15+02:00,1.9,0
2024-07-04T01:30+02:00,1.9,0
2024-07-04T01:45+02:00,1.8,0
2024-07-04T02:00+02:00,2.4,0
2024-07-04T02:15+02:00,2.2,0
2024-07-04T02:30+02:00,1.6,0
2024-07-04T02:45+02:00,1.6,0
2024-07-04T03:00+02:00,2.1,0
2024-07-04T03:15+02:00,1.7,0
2024-07-04T03:30+02:00,1.5,0
2024-07-04T03:45+02:00,1.5,0
2024-07-04T04:00+02:00,1.5,0
2024-07-04T04:15+02:00,1.5,0
2024-07-04T04:30+02:00,4.5,0
2024-07-04T04:45+02:00,9.8,1.8
2024-07-04T05:00+02:00,56.6,32.8
2024-07-04T05:15+02:00,145.2,91
2024-07-04T05:30+02:00,274.2,205.7
2024-07-04T05:45+02:00,536,435.4
2024-07-04T06:00+02:00,948.3,869.1
2024-07-04T06:15+02:00,1478.8,1561.5
2024-07-04T06:30+02:00,2109.5,2419.2
2024-07-04T06:45+02:00,2818.2,3331.6
2024-07-04T07:00+02:00,3629.1,4411.9
2024-07-04T07:15+02:00,4494.2,5576.3
2024-07-04T07:30+02:00,5401.2,6824.2
2024-07-04T07:45+02:00,6449.3,8114
2024-07-04T08:00+02:00,7560.6,9322.5
2024-07-04T08:15+02:00,8787.7,10625.5
2024-07-04T08:30+02:00,10040.4,11957.1
2024-07-04T08:45+02:00,11359.8,13291.2
2024-07-04T09:00+02:00,12842.7,14639.7
2024-07-04T09:15+02:00,14303.7,15997.7
2024-07-04T09:30+02:00,15891.9,17351.2
2024-07-04T09:45+02:00,17363.2,18642.2
2024-07-04T10:00+02:00,18689.3,19793.4
2024-07-04T10:15+02:00,19969.7,20893.8
2024-07-04T10:30+02:00,20869.7,21875.2
2024-07-04T10:45+02:00,21680,22760.2
2024-07-04T11:00+02:00,22582,23433.7
2024-07-04T11:15+02:00,23171.2,24174.4
